BRAND;"VENDOR CODE";TITLE;QUANTITY;WEIGHT;VOLUME;DELIVERY;STOCK;PRICE,AED;MIN_LOT
MITSUBISHI;'1000A161;"GSKT KIT,ENG OVERHAU";1;0,396;0,000;"=""3/6""";AB4;391,59;1
MITSUBISHI;'1000A162;"GASKET KIT,ENG OVERHAUL";8;0,623;0,000;"=""3/6""";AB4;509,32;1
MITSUBISHI;'1000A407;"GASKET KIT,ENG OVERHAUL( )";39;1,108;0,000;"=""3/6""";AB4;595,27;1
MITSUBISHI;'1000A523;"GASKET KIT,ENG OVERHAUL";5;0,715;0,000;"=""3/6""";AB4;482,53;1
MITSUBISHI;'1000A557;"GASKET KIT,ENG OVERHAUL";7;0,852;0,000;"=""3/6""";AB4;526,31;1
MITSUBISHI;'1000A669;"GASKET KIT,ENG OVERHAUL";65;1,100;0,000;"=""3/6""";AB4;630,69;1
MITSUBISHI;'1000A895;"GASKET KIT,ENG OVERHAUL";11;0,605;0,000;"=""3/6""";AB4;306,22;1
MITSUBISHI;'1000A902;"GASKET KIT,ENG OVERHAUL";20;0,682;0,000;"=""3/6""";AB4;456,29;1
MITSUBISHI;'1000A916;"GSKT KIT,ENG OVERHAUL,UPR";1;0,661;0,000;"=""3/6""";AB4;541,47;1
MITSUBISHI;'1000B010;"GASKET KIT,ENG OVERHAUL";3;0,000;0,000;"=""3/6""";AB4;738,92;1
MITSUBISHI;'1000B248;"GASKET KIT,ENG OVERHAUL(*)";8;1,200;0,000;"=""3/6""";AB4;647,64;1
MITSUBISHI;'1000B334;"GASKET KIT,ENG OVERHAUL";4;0,635;0,000;"=""3/6""";AB4;358,16;1
MITSUBISHI;'1000B338;"GASKET KIT, ENG OVERHAUL";25;1,510;0,000;"=""3/6""";AB4;534,06;1
MITSUBISHI;'1000B452;"GASKET KIT,ENG OVERHAUL";15;0,857;0,000;"=""3/6""";AB4;379,26;1
MITSUBISHI;'1000B593;"GASKET KIT,ENG OVERHAUL";9;0,607;0,000;"=""3/6""";AB4;402,27;1
MITSUBISHI;'1000B789;"GASKET KIT,ENG OVERHAUL";1;0,861;0,000;"=""3/6""";AB4;722,84;1
MITSUBISHI;'1000B790;"GASKET KIT,ENG OVERHAUL";3;0,610;0,000;"=""3/6""";AB4;808,50;1
MITSUBISHI;'1000C220;"GASKET KIT,ENG OVERHAUL(*)";3;0,856;0,000;"=""3/6""";AB4;533,73;1
MITSUBISHI;'1000C583;"GASKET KIT,ENG OVERHAUL";1;0,000;0,000;"=""3/6""";AB4;684,16;1
MITSUBISHI;'1000C663;"GASKET KIT,ENG OVERHAUL";1;0,000;0,000;"=""3/6""";AB4;416,29;1
